,SHAP
MSTRG.36782.15,48
MSTRG.36838.1,45
ENST00000611750.1,45
ENST00000566193.1,45
ENST00000693214.1,39
ENST00000485584.1,38
ENST00000529180.1,37
MSTRG.5794.10,36
ENST00000361365.7,36
MSTRG.6823.12,34
ENST00000464196.5,34
MSTRG.1847.2,34
MSTRG.5599.6,33
ENST00000390526.1,27
ENST00000392806.4,26
MSTRG.36785.9,26
ENST00000698289.1,26
ENST00000552050.5,25
MSTRG.13477.11,25
ENST00000571976.1,25
ENST00000642021.1,25
ENST00000473940.5,24
MSTRG.20567.3,23
MSTRG.8571.5,22
ENST00000283285.10,22
ENST00000336079.8,21
MSTRG.15509.6,21
MSTRG.7449.16,20
MSTRG.36713.16,20
MSTRG.9912.90,19
ENST00000497369.5,19
ENST00000662422.1,18
MSTRG.24590.27,17
ENST00000284856.4,17
MSTRG.17366.9,16
ENST00000693184.1,16
ENST00000459719.7,16
MSTRG.15720.1,16
ENST00000493973.1,16
MSTRG.4874.1,16
ENST00000440623.5,16
MSTRG.36782.10,16
ENST00000538260.5,15
ENST00000606320.6,15
ENST00000501056.2,15
MSTRG.8881.105,14
MSTRG.36725.12,14
ENST00000538530.5,14
ENST00000684171.1,14
MSTRG.36782.3,14
