,SHAP
ENST00000382545.5,50
ENST00000418346.1,50
MSTRG.21565.12,49
MSTRG.20210.2,49
MSTRG.13450.7,48
ENST00000372476.8,48
MSTRG.1168.1,46
ENST00000413366.8,45
MSTRG.5695.28,44
MSTRG.12050.13,43
ENST00000246080.4,42
ENST00000300184.8,40
ENST00000357450.9,37
ENST00000476438.1,36
MSTRG.16726.28,34
MSTRG.21565.11,33
MSTRG.17797.1,30
MSTRG.3806.9,30
MSTRG.21438.5,29
MSTRG.14482.3,29
ENST00000494573.6,28
ENST00000565196.5,27
ENST00000548200.5,27
MSTRG.427.3,27
ENST00000303115.8,27
MSTRG.23851.1,27
ENST00000337338.9,27
ENST00000581584.5,26
MSTRG.26990.1,26
ENST00000308831.7,26
MSTRG.20714.15,25
MSTRG.3823.12,25
ENST00000589005.5,25
ENST00000672613.1,24
MSTRG.1857.1,24
MSTRG.26895.13,23
MSTRG.17052.1,23
MSTRG.23169.2,23
ENST00000624344.1,22
ENST00000375200.6,22
MSTRG.1873.42,22
ENST00000543841.5,22
MSTRG.22004.4,21
ENST00000684774.1,21
MSTRG.28032.1,20
ENST00000507765.1,20
MSTRG.6368.4,19
MSTRG.2400.4,19
MSTRG.29554.27,19
ENST00000372583.6,19
ENST00000472755.2,19
ENST00000645860.1,18
ENST00000530439.1,18
MSTRG.21831.34,18
MSTRG.33906.1,18
MSTRG.830.1,18
MSTRG.1692.7,18
MSTRG.11536.33,18
ENST00000582019.5,17
ENST00000392249.6,17
MSTRG.20911.32,17
MSTRG.35088.43,17
MSTRG.27773.6,17
ENST00000367718.5,16
ENST00000280187.11,16
ENST00000493260.5,16
MSTRG.3529.27,16
MSTRG.31758.3,16
MSTRG.11500.1,15
MSTRG.5819.3,15
ENST00000537488.1,15
ENST00000491215.1,15
ENST00000670600.1,14
ENST00000564079.6,14
ENST00000460903.2,14
ENST00000298630.8,14
MSTRG.5179.5,14
MSTRG.34956.7,14
ENST00000548305.5,14
MSTRG.18607.3,14
MSTRG.27965.7,13
MSTRG.11948.25,13
ENST00000651342.1,13
ENST00000592148.1,13
ENST00000607443.1,13
ENST00000702378.1,13
MSTRG.4655.1,13
ENST00000552516.5,13
MSTRG.22088.31,13
ENST00000462190.1,13
MSTRG.28865.25,13
