,SHAP
MSTRG.36782.15,49
ENST00000611750.1,47
ENST00000485584.1,46
MSTRG.36020.14,43
ENST00000693214.1,40
ENST00000464196.5,40
MSTRG.5794.10,40
ENST00000529180.1,39
MSTRG.36713.16,36
MSTRG.5599.6,36
ENST00000361365.7,35
MSTRG.15509.6,33
ENST00000662422.1,33
ENST00000566193.1,33
ENST00000250784.13,33
ENST00000284856.4,29
ENST00000606320.6,29
MSTRG.36835.1,26
MSTRG.36782.10,26
ENST00000552050.5,24
MSTRG.16865.10,24
MSTRG.1847.2,24
MSTRG.6690.10,23
ENST00000539542.6,22
MSTRG.179.6,22
ENST00000495478.1,21
MSTRG.7072.3,21
ENST00000501056.2,20
MSTRG.26227.1,20
ENST00000696204.1,20
MSTRG.8132.10,20
MSTRG.16987.1,19
ENST00000680776.1,19
ENST00000525964.7,19
ENST00000698289.1,18
MSTRG.22625.1,18
ENST00000543566.6,18
MSTRG.12389.62,18
MSTRG.36713.13,18
MSTRG.32349.9,17
ENST00000599874.5,17
MSTRG.1806.5,17
MSTRG.7693.1,17
MSTRG.33971.55,17
ENST00000684338.1,17
ENST00000476655.6,16
MSTRG.15720.1,16
MSTRG.30248.5,16
ENST00000656538.1,16
MSTRG.15009.13,16
