,SHAP
ENST00000382545.5,50
ENST00000413366.8,45
ENST00000372476.8,41
MSTRG.20714.15,38
ENST00000300184.8,38
ENST00000476438.1,36
ENST00000581584.5,31
MSTRG.31758.2,30
ENST00000372583.6,28
MSTRG.5695.28,28
MSTRG.21438.5,27
ENST00000543727.5,26
ENST00000360760.9,26
ENST00000472755.2,26
ENST00000375200.6,25
ENST00000246080.4,25
ENST00000651342.1,24
MSTRG.12050.13,23
MSTRG.1857.1,22
ENST00000389995.4,22
MSTRG.7662.7,21
ENST00000341500.9,21
MSTRG.13028.39,20
ENST00000518375.1,20
MSTRG.7085.2,18
MSTRG.17668.8,17
MSTRG.6758.2,17
MSTRG.32512.1,16
ENST00000680967.1,16
MSTRG.35224.7,16
ENST00000622186.5,16
MSTRG.23851.1,16
ENST00000471661.5,15
MSTRG.830.1,15
ENST00000594682.6,15
MSTRG.28887.11,15
MSTRG.16696.4,14
MSTRG.21155.3,14
ENST00000343537.12,14
ENST00000530439.1,14
ENST00000462190.1,14
MSTRG.21313.3,13
ENST00000225171.7,13
MSTRG.30852.9,13
ENST00000316623.10,13
ENST00000367220.9,12
MSTRG.28865.25,12
MSTRG.12423.4,12
MSTRG.26895.13,12
MSTRG.23646.5,12
